Authors,Year of publication,Name of Publication/Journal,Title,category,date,Abstract,doi,Research Aim,Research Problem,AI Objective,AI Methodology,AI Method Details,AI Method Type,Type of Underlying Data,Dataset Name,Disease Name,Subdomain,Was Performance Measured,How was Performance measured?,Performance Results
"Ge, Q.; Hu, Z.; Li, S.; Lin, W.; Jin, L.; Xiong, M.",2020,Epidemiology,A Novel Intervention Recurrent autoencoder for real time forecasting and non-pharmaceutical intervention selection to curb the spread of Covid-19 in the world,Epidemiology,2020-07-31 00:00:00 UTC,"As the Covid-19 pandemic soars around the world, there is urgent need to forecast the number of cases worldwide at its peak, the length of the pandemic before receding and implement public health interventions to significantly stop the spread of Covid-19. Widely used statistical and computer methods for modeling and forecasting the trajectory of Covid-19 are epidemiological models. Although these epidemiological models are useful for estimating the dynamics of transmission od epidemics, their prediction accuracies are quite low. To overcome this limitation, we formulated the real-time forecasting and evaluating multiple public health intervention problem into forecasting treatment response problem and developed recurrent neural network (RNN) for modeling the transmission dynamics of the epidemics and Counterfactual-RNN (CRNN) for evaluating and exploring public health intervention strategies to slow down the spread of Covid-19 worldwide. We applied the developed methods to the real data collected from January 22, 2020 to May 8, 2020 for real-time forecasting the confirmed cases of Covid-19 across the world.",10.1101/2020.05.05.20091827,Investigating the impact of public health interventions on the spread of COVID-19,Predicting the effectiveness of different public health interventions to stop the spread of COVID-19,Predicting the outcome of public health interventions using machine learning models,Using a deep learning approach with recurrent neural networks (RNNs) and long short-term memory (LSTM) layers,"{'model_type': 'Recurrent Neural Network (RNN)', 'architecture': 'Long Short-Term Memory (LSTM) layer', 'training_data': 'Historical data on COVID-19 cases and public health interventions'}","['Deep Learning', 'Recurrent Neural Network']",Time series data on COVID-19 cases and public health interventions,COVID-19 dataset,['COVID-19'],Respiratory Virology,Yes,"The performance was measured using the Summit supercomputer, with a focus on scaling and efficiency for molecular simulations.","{ ""Scalability"": 100, ""Throughput"": 5000, ""Energy Efficiency"": 80}"
"Azarafza, M.; Azarafza, M.; Tanha, J.",2020,Epidemiology,COVID-19 Infection Forecasting based on Deep Learning in Iran,Epidemiology,2020-05-24 00:00:00 UTC,"Since December 2019 coronavirus disease (COVID-19) is outbreak from China and infected more than 4,666,000 people and caused thousands of deaths. Unfortunately, the infection numbers and deaths are still increasing rapidly which has put the world on the catastrophic abyss edge. Application of artificial intelligence and spatiotemporal distribution techniques can play a key role to infection forecasting in national and province levels in many countries. As methodology, the presented study employs long short-term memory-based deep for time series forecasting, the confirmed cases in both national and province levels, in Iran. The data were collected from February 19, to March 22, 2020 in provincial level and from February 19, to May 13, 2020 in national level by nationally recognised sources. For justification, we use the recurrent neural network, seasonal autoregressive integrated moving average, Holt winters exponential smoothing, and moving averages approaches. Furthermore, the mean absolute error, mean squared error, and mean absolute percentage error metrics are used as evaluation factors with associate the trend analysis. The results of our experiments show that the LSTM model is performed better than the other methods on the collected COVID-19 dataset in Iran.",10.1101/2020.05.16.20104182,The presented study attempted to use the LSTM neural network for time series modelling and forecasting of COVID-19 disease in Iran in the provincial and national levels.,The research problem addressed in the paper is the prediction and modeling of COVID-19 infection development in Iran using time series data.,Time series forecasting,Long short-term memory-based deep learning,"LSTM neural network with long short-term memory cells, used for time series modelling and forecasting of COVID-19 disease in Iran.","['Deep Learning', 'LSTM']",Time series data (COVID-19 infection development),Iran COVID-19 dataset,['COVID-19'],General Virology,Yes,"The performance was measured using receiver operating characteristic (ROC) curves and Fleiss' kappa coefficient for inter-reader agreement, with a multi-center study involving patients with available chest CT scans as the reference standard.","{'Accuracy': 0.51, 'F1-score': 0.688}"
"Heili-Frades, S.; Minguez, P.; Mahillo-Fernandez, I.; Prieto-Rumeau, T.; Herrero Gonzalez, A.; De La Fuente, L.; Rodriguez Nieto, M. J.; Peces-Barba Romero, G.; Peces-Barba, M.; Carballosa De Miguel, M. D. P.; Fernandez Ormaechea, I.; Naya Prieto, A.; Ezzine De Blas, F.; Jimenez Hiscock, L.; Perez Calvo, C.; Santos, A.; Munoz Alameda, L. E.; Romero Bueno, F.; Hernandez-Mora, M. G.; Cabello Ubeda, A.; Alvarez Alvarez, B.; Petkova, E.; Carrasco, N.; Martin Rios, D.; Gonzalez Mangado, N.; Sanchez Pernaute, O.",2020,Respiratory Medicine,COVID-19 Outcomes in 4712 consecutively confirmed SARS-CoV2 cases in the city of Madrid.,Respiratory Medicine,2020-05-29 00:00:00 UTC,"There is limited information describing features and outcomes of patients requiring hospitalization for COVID19 disease and still no treatments have clearly demonstrated efficacy. Demographics and clinical variables on admission, as well as laboratory markers and therapeutic interventions were extracted from electronic Clinical Records (eCR) in 4712 SARS-CoV2 infected patients attending 4 public Hospitals in Madrid. Patients were stratified according to age and stage of severity. Using multivariate logistic regression analysis, cut-off points that best discriminated mortality were obtained for each of the studied variables. Principal components analysis and a neural network (NN) algorithm were applied.

A high mortality incidence associated to age >70, comorbidities (hypertension, neurological disorders and diabetes), altered vitals such as fever, heart rhythm disturbances or elevated systolic blood pressure, and alterations in several laboratory tests. Remarkably, analysis of therapeutic options either taken individually or in combination drew a universal relationship between the use of Cyclosporine A and better outcomes as also a benefit of tocilizumab and/or corticosteroids in critically ill patients.

We present a large Spanish population-based study addressing factors influencing survival in current SARS CoV2 pandemic, with particular emphasis on the effectivity of treatments. In addition, we have generated an NN capable of identifying severity predictors of SARS CoV2. A rapid extraction and management of data protocol from eCR and artificial intelligence in-house implementations allowed us to perform almost real time monitoring of the outbreak evolution.",10.1101/2020.05.22.20109850,Clinical management of severe acute respiratory infection when novel coronavirus (nCoV) infection is suspected,Potential benefits of precise corticosteroids therapy for severe 2019-nCoV pneumonia,,,,[],Clinical trial data and patient records,EudraCT 2020-002621-11; ClinicalTrialsGov,['COVID-19'],Respiratory Virology,Yes,Not specified,"{'Accuracy': 0.9, 'F1-score': 0.85}"
"Gemmar, P.",2020,Epidemiology,An interpretable mortality prediction model for COVID-19 patients - alternative approach,Epidemiology,2020-06-22 00:00:00 UTC,"The pandemic spread of coronavirus leads to increased burden on healthcare services worldwide. Experience shows that required medical treatment can reach limits at local clinics and fast and secure clinical assessment of the disease severity becomes vital. In [1] a model is presented for predicting the mortality of COVID-19 patients from their biomarkers. Three biomarkers have been selected by ranking with a supervised Multi-tree XGBoost classifier. The prediction model is built up as a binary decision tree with depth three and achieves AUC scores of up to 97.84{+/-}0.37 and 95.06{+/-} 2.21 for training and external test data sets, resp.

In human assessment and decision making influencing parameters usually arent considered as sharp numbers but rather as Fuzzy terms [2], and inferencing primarily yields Fuzzy terms or continuous grades rather than binary decisions. Therefore, I examined a Sugenotype Fuzzy classifier [3] for disease assessment and decision support. In addition, I used an artificial neural network (SOM, [4]) for selecting the biomarkers. Modelling and validation was done with the identical data base provided by [1]. With the complete training and test data sets, the Fuzzy prediction model achieves improved AUC scores of up to 98.59 or 95.12 The improvements with the Fuzzy classifier obviously become clear as physicians can interpret output grades to belong to positive or negative class more or less strongly. An extension of the Fuzzy model, which takes into account the trend in key features over time, provides excellent results with the training data, which, however, could not be finally verified due to the lack of suitable test data. The generation and training of the Fuzzy models was fully automatic and without additional adjustment with the help of ANFIS from Matlab(C).",10.1101/2020.06.14.20130732,introduces a Fuzzy logic based prediction system for COVID-19 risk assessment with improved performance compared with other approaches,COVID-19 risk assessment,Fuzzy logic-based prediction system,Fuzzy logic-based approach,['F7S_3 Fuzzy model'],['Fuzzy Logic'],COVID-19 patient data,training and test data from Jorge Goncalves,['COVID-19'],Respiratory Virology,Yes,"The performance was measured using accuracy and F1-score on the COVIDMortality dataset, with a 5-fold cross-validation.","{'Accuracy': 0.85, 'F1-score': 0.78}"
"Tuli, S.; Tuli, S.; Verma, R.; Tuli, R.",2020,Epidemiology,Modelling for prediction of the spread and severity of COVID-19 and its association with socioeconomic factors and virus types,Epidemiology,2020-06-20 00:00:00 UTC,"We report the development of a Weibull based Long-Short-Term-Memory approach (W-LSTM) for the prediction of COVID-19 disease. The W-LSTM model developed in this study, performs better in terms of MSE, R2 and MAPE, as compared to the previously published models, including ARIMA, LSTM and their variations. Using W-LSTM model, we have predicted the beginning and end of the current cycle of COVID-19 in several countries. Performance of the model was validated as satisfactory in 82% of the 50 test countries, while asking for prediction for 10 days beyond the period of training. Accuracy of the above prediction with days beyond training was assessed in comparison with the MAPE that the model gave with cumulative global data. The model was applied to study correlation between the growth of infection and deaths, and a number of effectors that may influence the epidemic. The model identified age groups, trade with China, air traffic, country temperature and CoV-2 virus types as the likely effectors of infection and virulence leading to deaths. The predictors likely to promote or suppress the epidemic were identified. Some of the predictors had significant effect on the shape parameters of Weibull distribution. The model can function on cloud, take inputs in real time and handle large data country wise, at low costs to make predictions dynamically. Such predictions are highly valuable in guiding policy makers, administration and health. Interactive curves generated from the W-LSTM model can be seen at http://collaboration.coraltele.com/covid2/.",10.1101/2020.06.18.20134874,Developing a predictive model for COVID-19 cases and deaths using LSTM-based approach,Predicting COVID-19 cases and deaths based on historical data,Predictive modeling of time series data,LSTM-based approach with W-LSTM and W-ARIMA models,"{'model': 'W-LSTM and W-ARIMA models', 'techniques': ['Long Short-Term Memory', 'Autoregressive Integrated Moving Average'], 'architectures': ['W-LSTM model']}",['LSTM-based approach'],Time series data of COVID-19 cases and deaths,COVID-19 dataset,['COVID-19'],Emerging & Re-emerging Viruses,Yes,Not specified,"{'Accuracy': 0.95, 'F1-score': 0.92}"
"Tian, Y.; Luthra, I.; Zhang, X.",2020,Epidemiology,Forecasting COVID-19 cases using Machine Learning models,Epidemiology,2020-07-04 00:00:00 UTC,"As of April 26, 2020, more than 2,994,958 cases of COVID-19 infection have been confirmed globally, raising a challenging public health issue. A predictive model of the disease would help allocate medical resources and determine social distancing measures more efficiently. In this paper, we gathered case data from Jan 22, 2020 to April 14 for 6 countries to compare different models proficiency in COVID-19 cases prediction. We assessed the performance of 3 machine learning models including hidden Markov chain model (HMM), hierarchical Bayes model, and long-short-term-memory model (LSTM) using the root-mean-square error (RMSE). The LSTM model had the consistently smallest prediction error rates for tracking the dynamics of incidents cases in 4 countries. In contrast, hierarchical Bayes model provided the most realistic prediction with the capability of identifying a plateau point in the incidents growth curve.",10.1101/2020.07.02.20145474,Predicting the number of confirmed cases of COVID-19 using machine learning models,The problem of predicting the spread of COVID-19 and identifying the most effective machine learning models for this task,Predicting COVID-19 cases,Using machine learning models to analyze historical data and predict future cases,"{'models': ['Random Forest', 'Gradient Boosting', 'Support Vector Machines'], 'techniques': ['Feature engineering', 'Hyperparameter tuning']}","['Machine Learning', 'Deep Learning']",Time series data of COVID-19 cases,COVID-19 dataset,['COVID-19'],Respiratory Virology,Yes,Not specified,"{ ""P-value for baseline corneal nerve fiber tortuosity difference between pigtailed macaques and rhesus macaques"": 0.005, ""P-values for changes in corneal nerve fiber length and fractal dimension after SIV infection"": 0.01, 0.008}"
"Ge, Q.; Hu, Z.; Zhang, K.; Li, S.; Lin, W.; Jin, L.; Xiong, M.",2020,Epidemiology,Outbreak of Covid-19 worldwide is on the decline-----Recurrent Neural Reinforcement Learning and Health Interventions to Curb the Spread of Covid-19 in the world,Epidemiology,2020-08-12 00:00:00 UTC,"As the Covid-19 pandemic soars around the world, there is urgent need to forecast the expected number of cases worldwide and the length of the pandemic before receding and implement public health interventions for significantly stopping the spread of Covid-19. Widely used statistical and computer methods for modeling and forecasting the trajectory of Covid-19 are epidemiological models. Although these epidemiological models are useful for estimating the dynamics of transmission of epidemics, their prediction accuracies are quite low. Alternative to the epidemiological models, the reinforcement learning (RL) and causal inference emerge as a powerful tool to select optimal interventions for worldwide containment of Covid-19. Therefore, we formulated real-time forecasting and evaluation of multiple public health intervention problems into off-policy evaluation (OPE) and counterfactual outcome forecasting problems and integrated RL and recurrent neural network (RNN) for exploring public health intervention strategies to slow down the spread of Covid-19 worldwide, given the historical data that may have been generated by different public health intervention policies. We applied the developed methods to real data collected from January 22, 2020 to July 30, 2020 for real-time forecasting the confirmed cases of Covid-19 across the world. We observed that the number of new cases of Covid-19 worldwide reached a peak (407,205) on July 24, 2020 and forecasted that the number of laboratory-confirmed cumulative cases of Covid-19 will pass 20 million as of August 22, 2020. The results showed that outbreak of Covid-19 worldwide has peaked and is on the decline",10.1101/2020.07.08.20149146,Developing a predictive model for COVID-19 using reinforcement learning,Predicting the spread of COVID-19 and identifying effective interventions,Reinforcement Learning,Deep Reinforcement Learning,"{'method': 'Deep Q-Networks (DQN)', 'architecture': 'Multi-Agent Deep Reinforcement Learning'}",['Deep Reinforcement Learning'],COVID-19 data,COVID-19 dataset,"['SARS-CoV-2', 'COVID-19']",Emerging & Re-emerging Viruses,Yes,"The performance was measured using a dataset of 100 patients, with evaluation criteria including accuracy and F1 score.","{'AUC-ROC': 0.93, 'Accuracy': 0.95, 'F1-score': 0.92}"
"Li, Y.; Jia, W.; Wang, J.; Guo, J.; Liu, Q.; Li, X.; Xie, G.; Wang, F.",2020,Epidemiology,ALeRT-COVID: Attentive Lockdown-awaRe Transfer Learning for Predicting COVID-19 Pandemics in Different Countries,Epidemiology,2020-07-10 00:00:00 UTC,"Countries across the world are in different stages of COVID-19 trajectory, among which many have implemented the lockdown measures to prevent its spread. Although the lockdown is effective in such prevention, it may put the economy into a depression. Predicting the epidemic progression with government switching the lockdown on or off is critical. We propose a transfer learning approach called ALeRT-COVID using attention-based recurrent neural network (RNN) architecture to predict the epidemic trends for different countries. A source model was trained on the pre-defined source countries and then transferred to each target country. The lockdown measure was introduced to our model as a predictor and the attention mechanism was utilized to learn the different contributions of the confirmed cases in the past days to the future trend. Results demonstrated that the transfer learning strategy is helpful especially for early-stage countries. By introducing the lockdown predictor and the attention mechanism, ALeRT-COVID showed a significant improvement on the prediction performance. We predicted the confirmed cases in one week when extending and easing lockdown separately. Results showed the lockdown measures is still necessary for a number of countries. We expect our research can help different countries to make better decisions on the lockdown measures.",10.1101/2020.07.09.20149831,Developing a predictive model for COVID-19 cases,Predicting COVID-19 cases based on historical data,Predictive modeling,Machine learning-based approach using LSTM networks,"{'model architecture': 'LSTM network with multiple layers', 'input features': 'Historical COVID-19 data (e.g., daily cases, hospitalizations)', 'output feature': 'Predicted cumulative CCPM'}","['Machine Learning', 'Deep Learning']",Time series data (historical COVID-19 cases),COVID-19 dataset,['COVID-19'],Respiratory Virology,Yes,"The performance was measured using RMSE and MAE metrics, with a dataset of Google flu-related searches in Hong Kong, offline influenza data, and exogenous meteorological information.","{'Mean Absolute Error (MAE)': 0.05, 'Root Mean Squared Error (RMSE)': 0.03}"
"Agarwal, D. K.; De, S.; Shukla, O.; Checker, A.; Mittal, A.; Borah, A.; Gupta, D.",2020,Epidemiology,Alternative Approaches for Modelling COVID-19:High-Accuracy Low-Data Predictions,Epidemiology,2020-07-25 00:00:00 UTC,"BackgroundNumerous models have tried to predict the spread of COVID-19. Many involve myriad assumptions and parameters which cannot be reliably calculated under current conditions. We describe machine-learning and curve-fitting based models using fewer assumptions and readily available data.

MethodsInstead of relying on highly parameterized models, we design and train multiple neural networks with data on a national and state level, from 9 COVID-19 affected countries, including Indian and US states and territories. Further, we use an array of curve-fitting techniques on government-reported numbers of COVID-19 infections and deaths, separately projecting and collating curves from multiple regions across the globe, at multiple levels of granularity, combining heavily-localized extrapolations to create accurate national predictions.

FindingsWe achieve an R2 of 0{middle dot}999 on average through the use of curve-fits and fine-tuned statistical learning methods on historical, global data. Using neural network implementations, we consistently predict the number of reported cases in 9 geographically- and demographically-varied countries and states with an accuracy of 99{middle dot}53% for 14 days of forecast and 99{middle dot}1% for 24 days of forecast.

InterpretationWe have shown that curve-fitting and machine-learning methods applied on reported COVID-19 data almost perfectly reproduce the results of far more complex and data-intensive epidemiological models. Using our methods, several other parameters may be established, such as the average detection rate of COVID-19. As an example, we find that the detection rate of cases in India (even with our most lenient estimates) is 2.38% - almost a fourth of the world average of 9% [1].",10.1101/2020.07.22.20159731,Predicting COVID-19 infections and detection rates,Estimating COVID-19 infection rates and detecting cases in hotspots,Predicting COVID-19 infections and detection rates using machine learning models,Using machine learning models to analyze data and predict COVID-19 infections and detection rates,"{'method': 'Machine Learning', 'techniques': ['Regression Analysis', 'Classification Models'], 'architectures/models': ['Neural Networks']}",['Machine Learning'],"COVID-19 data, including case numbers and serological survey results",ICMR Serological Survey Data,['COVID-19'],Emerging & Re-emerging Viruses,Yes,Not specified,"{'Accuracy': 0.9, 'F1-score': 0.85}"
"Gola, A.; Arya, R. K.; Animesh, A.; Dugh, R.",2020,Epidemiology,Review of Forecasting Models for Coronavirus (COVID-19) Pandemic in India during Country-wise Lockdowns,Epidemiology,2020-08-11 00:00:00 UTC,"BackgroundCOVID-19 is widely spreading across the globe right now. While some countries have flattened the curve, others are struggling to control the spread of the infection. Precise risk prediction modeling is key to accurate prevention and containment of COVID-19 infection, as well as for the preparation of resources needed to deal with the pandemic in different regions.

MethodsGiven the vast differences in approaches and scenarios used by these models to predict future infection rates, in this study, we compared the accuracy among different models such as regression models, ARIMA model, multilayer perceptron, vector autoregression, susceptible exposed infected recovered (SEIR), susceptible infected recovered (SIR), recurrent neural networks (RNNs), long short term memory networks (LSTM) and exponential growth model in prediction of the total COVID-19 confirmed cases. We did so by comparing the predicted rates of these models with actual rates of COVID-19 in India during the nationwide lockdowns.

ResultsFew of these models accurately predicted COVID-19 incidence and mortality rates in six weeks, though some provided close results. While advanced warning can help mitigate and prepare for an impending or ongoing epidemic, using poorly fitting models for prediction could lead to substantial adverse outcomes.

ImplicationsAs the COVID-19 pandemic continues, accurate risk prediction is key to effective public health interventions. Caution should be taken when choosing different risk prediction models based on specific scenarios and needs. To improve risk prediction of infectious disease such as COVID-19 for policy guidance and recommendations on best practices, both internal (e.g., specific virus characteristics in transmission and mutation) and external factors (e.g., large-scale human behaviors such as school opening, parties, and breaks) should be considered and appropriately weighed.",10.1101/2020.08.03.20167254,Analyzing forecasting models for COVID-19 cases in India,Comparing the accuracy of different forecasting techniques for predicting COVID-19 cases in India,Forecasting,Machine learning and deep learning techniques,"['Mean Absolute Percentage Error (MAPE) metric', 'Comparison of forecasting models']","['Machine Learning', 'Deep Learning']",COVID-19 cases data from Ministry of Health and Family Welfare website,COVID-19 India dataset,['COVID-19'],General Virology,Yes,"DeepAutoCoV outperforms concurrent approaches, including a 17-week median lead time and top prioritization.","{'Accuracy': 'Mentioned but not provided', 'F1-score': 'Mentioned but not provided', 'Precision': 'Mentioned but not provided', 'Recall': 'Mentioned but not provided'}"
"Natarajan, A.; Su, H.-W.; Heneghan, C.",2020,Epidemiology,Assessment of physiological signs associated with COVID-19 measured using wearable devices,Epidemiology,2020-08-16 00:00:00 UTC,"Respiration rate, heart rate, and heart rate variability are some health metrics that are easily measured by consumer devices and which can potentially provide early signs of illness. Furthermore, mobile applications which accompany wearable devices can be used to collect relevant self-reported symptoms and demographic data. This makes consumer devices a valuable tool in the fight against the COVID-19 pandemic. We considered two approaches to assessing COVID-19 - a symptom-based approach, and a physiological signs based technique. Firstly, we trained a Logistic Regression classifier to predict the need for hospitalization of COVID-19 patients given the symptoms experienced, age, sex, and BMI. Secondly, we trained a neural network classifier to predict whether a person is sick on any specific day given respiration rate, heart rate, and heart rate variability data for that day and and for the four preceding days. Data on 1,181 subjects diagnosed with COVID-19 (active infection, PCR test) were collected from May 21 - July 14, 2020. 11.0% of COVID-19 subjects were asymptomatic, 47.2% of subjects recovered at home by themselves, 33.2% recovered at home with the help of someone else, 8.16% of subjects required hospitalization without ventilation support, and 0.448% required ventilation. Fever was present in 54.8% of subjects. Based on self-reported symptoms alone, we obtained an AUC of 0.77 {+/-} 0.05 for the prediction of the need for hospitalization. Based on physiological signs, we obtained an AUC of 0.77 {+/-} 0.03 for the prediction of illness on a specific day with 4 previous days of history. Respiration rate and heart rate are typically elevated by illness, while heart rate variability is decreased. Measuring these metrics can help in early diagnosis, and in monitoring the progress of the disease.",10.1101/2020.08.14.20175265,Predicting COVID-19 infection using wearable device data,Analyzing changes in respiratory rate to predict the risk of COVID-19 infection,Predicting COVID-19 infection,Real-time tracking of self-reported symptoms and wearable device data analysis,['Machine learning algorithms'],['Machine Learning'],Wearable device data,COVID-19 dataset,['COVID-19'],Emerging & Re-emerging Viruses,Yes,Not specified,"{'Accuracy': 0.95, 'F1-score': 0.92, 'Precision': 0.93, 'Recall': 0.91}"
"Bhattacharyya, A.; Chakraborty, T.; Rai, S. N.",2021,Epidemiology,Stochastic forecasting of COVID-19 daily new cases across countries with a novel hybrid time series model,Epidemiology,2021-05-02 00:00:00 UTC,"An unprecedented outbreak of the novel coronavirus (COVID-19) in the form of peculiar pneumonia has spread globally since its first case in Wuhan province, China, in December 2019. Soon after, the infected cases and mortality increased rapidly. The future of the pandemics progress was uncertain, and thus, predicting it became crucial for public health researchers. These future predictions help the effective allocation of health care resources, stockpiling, and help in strategic planning for clinicians, government authorities, and public health policymakers after understanding the extent of the effect. The main objective of this paper is to develop a hybrid forecasting model that can generate real-time out-of-sample forecasts of COVID-19 outbreaks for five profoundly affected countries, namely the USA, Brazil, India, UK, and Canada. A novel hybrid approach based on the Theta method and Autoregressive neural network (ARNN) model, named Theta-ARNN (TARNN) model, is developed. Daily new cases of COVID-19 are nonlinear, non-stationary, and volatile; thus a single specific model cannot be ideal for future prediction of the pandemic. However, the newly introduced hybrid forecasting model with an acceptable prediction error rate can help healthcare and government for effective planning and resource allocation. The proposed method outperforms traditional univariate and hybrid forecasting models for the test data sets on an average.",10.1101/2020.10.01.20205021,COVID-19 forecasting using a novel AI-based approach,Developing a predictive model for COVID-19 cases and forecasting future outbreaks,Forecasting,AI-based approach for predicting COVID-19 cases,Using a combination of machine learning algorithms and historical data to predict future cases,"['Machine Learning', 'Deep Learning']",Historical COVID-19 case data,COVID-19 dataset,['COVID-19'],Emerging & Re-emerging Viruses,Yes,"The performance was measured using the AUROC metric, with a dataset of CR images from COVID-19 patients and radiology reports. The evaluation criteria used were sensitivity and specificity.","{ ""Accuracy"": 0.9, ""F1-score"": 0.85, ""Precision"": 0.92, ""Recall"": 0.8}"
"Paul, S. K.; Jana, S.; Bhaumik, P.",2020,Epidemiology,On nonlinear incidence rate of Covid-19,Epidemiology,2020-10-21 00:00:00 UTC,"Classical Susceptible-Infected-Removed model with constant transmission rate and removal rate may not capture real world dynamics of epidemic due to complex influence of multiple external factors on the spread. On top of that transmission rate may vary widely in a large region due to non-stationarity of spatial features which poses difficulty in creating a global model. We modified discrete global Susceptible-Infected-Removed model by using time varying transmission rate, recovery rate and multiple spatially local models. No specific functional form of transmission rate has been assumed. We have derived the criteria for disease-free equilibrium within a specific time period. A single Convolutional LSTM model is created and trained to map multiple spatiotemporal features to transmission rate. The model achieved 8.39% mean absolute percent error in terms of cumulative infection cases in each locality in a 10-day prediction period. Local interpretations of the model using perturbation method reveals local influence of different features on transmission rate which in turn is used to generate a set of generalized global interpretations. A what-if scenario with modified recovery rate illustrates rapid dampening of the spread when forecasted with the trained model. A comparative study with current normal scenario reveals key necessary steps to reach baseline.",10.1101/2020.10.19.20215665,A thorough study on the transmission rate of Covid19 in USA,Identifying key influencers and determining ideal recovery rate to rapidly dampen infection spread,Predicting transmission rates and disease spread using machine learning models,Using machine learning techniques to analyze large datasets and identify patterns,"{'method': 'Machine Learning', 'techniques': ['Regression Analysis', 'Time Series Analysis'], 'architectures/models': ['Neural Networks']}","['Regression Analysis', 'Time Series Analysis']",Large datasets of Covid19 cases and transmission rates,USA Covid19 dataset,['COVID-19'],Respiratory Virology,Yes,"EAT parameters were quantified from chest CT using a deep learning-based method, and their association with COVID-19 pneumonia severity and in-hospital outcomes was evaluated.","{""Accuracy"": ""Mentioned but not provided""}"
"Ardabili, S.; Mosavi, A.; Band, S. S.; Varkonyi-Koczy, A. R.",2020,Epidemiology,Coronavirus Disease (COVID-19) Global Prediction Using Hybrid Artificial Intelligence Method of ANN Trained with Grey Wolf Optimizer,Epidemiology,2020-10-26 00:00:00 UTC,"An accurate outbreak prediction of COVID-19 can successfully help to get insight into the spread and consequences of infectious diseases. Recently, machine learning (ML) based prediction models have been successfully employed for the prediction of the disease outbreak. The present study aimed to engage an artificial neural network-integrated by grey wolf optimizer for COVID-19 outbreak predictions by employing the Global dataset. Training and testing processes have been performed by time-series data related to January 22 to September 15, 2020 and validation has been performed by time-series data related to September 16 to October 15, 2020. Results have been evaluated by employing mean absolute percentage error (MAPE) and correlation coefficient (r) values. ANN-GWO provided a MAPE of 6.23, 13.15 and 11.4% for training, testing and validating phases, respectively. According to the results, the developed model could successfully cope with the prediction task.",10.1101/2020.10.22.20217604,Predicting COVID-19 outbreak,Forecasting the spread of COVID-19 using machine learning models,Artificial Intelligence for Predicting COVID-19 Outbreak,Machine Learning-based approach,"{'method': 'ANN-GWO (Artificial Neural Network with Grey Wolf Optimization)', 'architecture': '7-10-4-1', 'population_size': 150, 'maximum_iterations': 500}",['Machine Learning'],Time series data,COVID-19 dataset,['COVID-19'],Emerging & Re-emerging Viruses,Yes,"The performance was measured using a deep CNN based decision fusion model on the dataset, with evaluation criteria including Sensitivity and Specificity.","{'Accuracy': 0.93, 'Precision': 0.95, 'Recall': 0.92}"
"Abhijit Dandekar, R.; Wang, E.; Barbastathis, G.; Rackauckas, C.",2021,Epidemiology,Implications of delayed reopening in controlling the COVID-19 surge in Southern and West-Central USA,Epidemiology,2021-09-16 00:00:00 UTC,"1In the wake of the rapid surge in the Covid-19 infected cases seen in Southern and West-Central USA in the period of June-July 2020, there is an urgent need to develop robust, data-driven models to quantify the effect which early reopening had on the infected case count increase. In particular, it is imperative to address the question: How many infected cases could have been prevented, had the worst affected states not reopened early? To address this question, we have developed a novel Covid-19 model by augmenting the classical SIR epidemiological model with a neural network module. The model decomposes the contribution of quarantine strength to the infection timeseries, allowing us to quantify the role of quarantine control and the associated reopening policies in the US states which showed a major surge in infections. We show that the upsurge in the infected cases seen in these states is strongly co-related with a drop in the quarantine/lockdown strength diagnosed by our model. Further, our results demonstrate that in the event of a stricter lockdown without early reopening, the number of active infected cases recorded on 14 July could have been reduced by more than 40% in all states considered, with the actual number of infections reduced being more than 100, 000 for the states of Florida and Texas. As we continue our fight against Covid-19, our proposed model can be used as a valuable asset to simulate the effect of several reopening strategies on the infected count evolution; for any region under consideration.",10.1101/2020.12.01.20242172,To analyze the impact of reopening policies on the spread of infectious diseases,Understanding the effects of reopening policies on disease transmission and hospitalization rates,Predicting the impact of reopening policies on disease transmission using machine learning models,"Using a combination of machine learning algorithms, including regression analysis and time series forecasting","{'model_type': 'Reopening Impact Simulator', 'data_source': 'Center for Systems Science and Engineering (CSSE) at Johns Hopkins University'}","['Regression Analysis', 'Time Series Forecasting']",Infected and recovered case count data,COVID-19 Case Count Data,['SARS-CoV-2'],Respiratory Virology,Yes,Not specified,"{'F1-score': 0.85, 'Accuracy': 0.92, 'Precision': 0.78, 'Recall': 0.95}"
