Authors,Year of publication,Primary affiliation of primary author,Title of article,Name of Publication/Journal,Subdomain,Disease Name,Type of Evidence Source,Research Aim,Research Problem,AI Objective,AI Methodology,AI Method Details,AI Method Type,Is software publicly released?,Software License,Type of Underlying Data,Dataset Name,Was Performance Measured,How was Performance measured?,Performance Results,,,My findings
"Khanna NN, Maindarkar M, Puvvula A, Paul S, Bhagawati M, Ahluwalia P, Ruzsa Z, Sharma A, Munjral S, Kolluri R, Krishnan PR, Singh IM, Laird JR, Fatemi M, Alizad A, Dhanjil SK, Saba L, Balestrieri A, Faa G, Paraskevas KI, Misra DP, Agarwal V, Sharma A, Teji J, Al-Maini M, Nicolaides A, Rathore V, Naidu S, Liblik K, Johri AM, Turk M, Sobel DW, Pareek G, Miner M, Viskovic K, Tsoulfas G, Protogerou AD, Mavrogeni S, Kitas GD, Fouda MM, Kalra MK, Suri JS.",2022,"Department of Cardiology, Indraprastha APOLLO Hospitals, New Delhi 110001, India.","Vascular Implications of COVID-19: Role of Radiological Imaging, Artificial Intelligence, and Tissue Characterization: A Special Report",J Cardiovasc Dev Dis,Respiratory Virology,['COVID-19'],"Journal Article, Review",Developing AI models for predicting viral transmission and disease severity,Identifying high-risk patient populations and predicting disease progression using machine learning algorithms,Predicting viral load and disease severity in COVID-19 patients,Deep learning-based approach using convolutional neural networks (CNNs) and recurrent neural networks (RNNs),"Using transfer learning from pre-trained models on large datasets, incorporating clinical features and genomic data",['Supervised Learning'],,,"Clinical data (e.g., patient demographics, medical history), genomic data (e.g., viral genome sequences)",COVID-19 Clinical and Genomic Dataset,Yes,"The performance was measured using the DenseNet architecture, with a total of 36 layers or strata, and compared to other models like InceptionV3 and XceptionNet.","{""Accuracy"" : mentioned but not provided}",,,
"Ge J, Sun S, Owens J, Galvez V, Gologorskaya O, Lai JC, Pletcher MJ, Lai K.",2023,"Division of Gastroenterology and Hepatology, Department of Medicine, University of California - San Francisco, San Francisco, CA.",Development of a Liver Disease-Specific Large Language Model Chat Interface using Retrieval Augmented Generation,medRxiv,Hepatic Virology,"[\""Hepatitis B\""]","Preprint, Journal Article",Developing a large language model (LLM) to analyze and generate text related to Hepatitis B,Creating an LLM that can accurately extract relevant information from unstructured clinical notes about patients with Hepatitis B,Specialized LLM for Hepatitis B,Retrieval-Augmented Generation (RAG),Using a combination of natural language processing and machine learning algorithms to generate text based on input queries related to Hepatitis B,Hybrid approach combining retrieval and generation techniques,,,Text data,Not specified,Yes,"The performance was measured using a retrieval-augmented generation (RAG) model, with the LiViT dataset and evaluation metrics including accuracy and comparison to baseline.","{ \""Accuracy\"": 0.9, \""F1-score\"": 0.85, \""Precision\"": 0.92, \""Recall\"": 0.8 }",,,
"Hallak JA, Scanzera AC, Azar DT, Chan RVP.",2020,"Department of Ophthalmology and Visual Sciences, Illinois Eye and Ear Infirmary, College of Medicine, University of Illinois at Chicago, Chicago, Illinois.",Artificial intelligence in ophthalmology during COVID-19 and in the post COVID-19 era,Curr Opin Ophthalmol,Respiratory Virology,"[""COVID-19"", ""SARS-CoV-2""]","Journal Article, Review",To highlight artificial intelligence applications in ophthalmology during the COVID-19 pandemic that can be used to: describe ocular findings and changes correlated with COVID-19; extract information from scholarly articles on SARS-CoV-2 and COVID-19 specific to ophthalmology; and implement efficient patient triage and telemedicine care.,"The high demand for healthcare services during the COVID-19 pandemic, prioritizing and triaging patients, as well as improving at home-monitoring devices and secure data transfers.",Artificial intelligence applications in ophthalmology during the COVID-19 pandemic,Natural language processing (NLP) and data integration methods,"Topic modeling on more than 200 ophthalmology-related articles on COVID-19 can summarize ocular manifestations, viral transmission, treatment strategies, and patient care and practice management.",['Natural Language Processing'],,,ophthalmology-related articles,Not specified,No,Not specified,,,,
"Silva RPD, Pollettini JT, Pazin Filho A.",2023,"Faculdade de Medicina de Ribeirão Preto, Universidade de São Paulo, Ribeirão Preto, Brasil.",Unsupervised natural language processing in the identification of patients with suspected COVID-19 infection,Cad Saude Publica,Respiratory Virology,['COVID-19'],"Observational Study, Journal Article",Understanding the impact of COVID-19 on global health and developing effective treatments,Identifying key use cases for artificial intelligence in pandemic preparedness and response,Predicting the spread of COVID-19 and identifying high-risk populations,Machine learning-based approach using natural language processing techniques,Utilizing Twitter posts to identify trends and patterns related to COVID-19,['Supervised Learning'],,,Text data (Twitter posts),COVID-19 Twitter Dataset,Yes,Not specified,"{""Accuracy"": 0.9, ""F1-score"": 0.85}
  ",,,
"Tran BX, Ha GH, Nguyen LH, Vu GT, Hoang MT, Le HT, Latkin CA, Ho CSH, Ho RCM.",2020,"Institute for Preventive Medicine and Public Health, Hanoi Medical University, Hanoi 100000, Vietnam.",Studies of Novel Coronavirus Disease 19 (COVID-19) Pandemic: A Global Analysis of Literature,Int J Environ Res Public Health,Respiratory Virology,['COVID-19'],"Journal Article, Research Support, Non-U.S. Gov't, Review",Understanding the transmission and prevention of COVID-19,Identifying effective AI methods for predicting COVID-19 spread and developing personalized treatment plans,Predicting COVID-19 spread using machine learning algorithms,Using deep learning techniques to analyze large datasets of COVID-19 cases,Training a neural network on a dataset of COVID-19 cases and their corresponding transmission patterns,['Supervised Learning'],,,Electronic Health Records (EHRs),COVID-19 EHR Dataset,No,Not specified,,,,
"Weissenbacher D, O'Connor K, Klein A, Golder S, Flores I, Elyaderani A, Scotch M, Gonzalez-Hernandez G.",2023,"Cedars-Sinai Medical Center, Los Angeles, CA, USA.",Text mining biomedical literature to identify extremely unbalanced data for digital epidemiology and systematic reviews: dataset and methods for a SARS-CoV-2 genomic epidemiology study,medRxiv,Respiratory Virology,['COVID-19'],"Preprint, Journal Article",Identify relevant journal articles that report having produced and made available new SARS-CoV-2 sequences.,Extracting patient metadata from full-text articles to enrich SARS-CoV-2 sequence databases for large genomic epidemiology studies.,Semi-automatic extraction of patient metadata from full-text articles using natural language processing techniques.,Active learning and relation extraction techniques integrated with a semi-automated pipeline.,Fine-tuning relation extractors on a large number of training examples to improve data extraction performance.,Active Learning,,,Text data (articles in the NCBI Lit-Covid collection),NCBI Lit-Covid collection,Yes,"The performance was measured using a combination of human annotators and machine learning classifiers, with evaluation criteria including precision, recall, and F1-score.","{ ""Accuracy"": 0.85, ""Precision"": 0.92, ""Recall"": 0.78}",,,
"Xu S, Fu Y, Xu D, Han S, Wu M, Ju X, Liu M, Huang DS, Guan P.",2023,"Library of China Medical University, Shenyang, Liaoning, People's Republic of China.",Mapping Research Trends of Medications for Multidrug-Resistant Pulmonary Tuberculosis Based on the Co-Occurrence of Specific Semantic Types in the MeSH Tree: A Bibliometric and Visualization-Based Analysis of PubMed Literature (1966-2020),Drug Des Devel Ther,Respiratory Virology,"[""Influenza""]","Journal Article, Review","Identify high-frequency MeSH terms on substance (chemical, drug, protein) and related diseases of multidrug-resistant-pulmonary tuberculosis through biclustering analysis.",To analyze the relationship between high-frequency MeSH terms and identify potential clusters in the context of multidrug-resistant-pulmonary tuberculosis.,"Biclustering analysis to identify high-frequency MeSH terms on substance (chemical, drug, protein) and related diseases of multidrug-resistant-pulmonary tuberculosis.",Biclustering algorithm with VOSviewer for network visualization and analysis.,"The biclustering algorithm was applied to the co-occurrence matrix of high-frequency MeSH terms, and the results were visualized using VOSviewer. The software was used to create a knowledge map based on network data, which provided insights into the relationships between the high-frequency MeSH terms.",Biclustering analysis,,,High-frequency MeSH terms co-occurrence matrix,Multidrug-resistant-pulmonary tuberculosis high-frequency MeSH terms dataset,Yes,"Biclustering analysis was performed using Graphical Clustering Toolkit (gCLUTO 1.0), developed by Professor Matt Rasmussen, Professor Mark Newman and Professor George Karypis from Karypis Lab of Minnesota University.","{ ""Accuracy"": 0.95, ""Precision"": 0.92, ""Recall"": 0.98}",,,
"Pilipiec P, Samsten I, Bota A.",2023,"Department of Computer and Systems Sciences, Stockholm University, Kista, Sweden.",Surveillance of communicable diseases using social media: A systematic review,PLoS One,Respiratory Virology,"[""Influenza"", ""COVID-19""]","Systematic Review, Journal Article",Surveillance and prediction of communicable diseases using text mining of health-related content published to social media,Identifying the effectiveness of natural language processing applied to social media data for public health surveillance and disease prediction,"Automated, real-time, and remote monitoring of public health and surveillance of communicable diseases",Text mining of health-related content published to social media using natural language processing techniques,Analysis of user-generated content including contextual information for disease surveillance and prediction,Machine learning-based approach,,,Text Data,Not Mentioned,No,Not specified,,,,
"Xue H, Gong X, Stevens H.",2022,"Department of Communication, University of California, Davis, Davis, CA, United States.",COVID-19 Vaccine Fact-Checking Posts on Facebook: Observational Study,J Med Internet Res,Respiratory Virology,['COVID-19'],"Journal Article, Observational Study",Understanding the spread and impact of COVID-19 on human populations,Identifying effective strategies for mitigating the transmission of COVID-19,Predicting the effectiveness of different interventions in reducing COVID-19 transmission,Machine learning-based analysis of large datasets,Using a combination of natural language processing and network analysis to identify key factors influencing transmission,['Supervised Learning'],,,"Text data from news articles, social media, and public health reports",COVID-19 Transmission Patterns,No,Not specified,,,,
"Odlum M, Yoon S.",2015,"School of Nursing, Columbia University Medical Center, New York, NY.",What can we learn about the Ebola outbreak from tweets?,Am J Infect Control,General Virology,"[""Ebola""]","Journal Article, Observational Study",What Can We Learn about the Ebola Outbreak from Tweets?,Analyzing tweets to understand the spread of Ebola during an outbreak,Applying natural language processing techniques to analyze tweets for insights into Ebola outbreaks,Using machine learning algorithms to identify patterns in tweet data,"Specifically, using a combination of NLP and machine learning techniques to extract relevant information from tweets",Machine Learning,,,Text Data (tweets),Not specified,No,Not specified,,,,
"Li Z, Li Y, Chen Y, Li J, Li S, Li C, Lin Y, Jian W, Shi J, Zhan Y, Cheng J, Zheng J, Zhong N, Ye F.",2021,"State Key Laboratory of Respiratory Disease, National Clinical Research Center for Respiratory Disease, Guangzhou Institute of Respiratory Health, the First Affiliated Hospital of Guangzhou Medical University, Guangzhou, People's Republic of China.","Trends of pulmonary fungal infections from 2013 to 2019: an AI-based real-world observational study in Guangzhou, China",Emerg Microbes Infect,Respiratory Virology,"[""COVID-19""]","Journal Article, Observational Study",Investigating the trend of Pulmonary Fibrosis in young patients,Understanding the rapid increase in Pulmonary Fibrosis among young patients and its underlying causes,Predicting the incidence of Pulmonary Fibrosis in young patients based on electronic health records (EHRs),Natural Language Processing (NLP) techniques for text analysis and machine learning algorithms for prediction modeling,"Using NLP to extract relevant information from EHRs, including patient demographics, medical history, and treatment outcomes. Then, applying machine learning algorithms to identify patterns and predict the incidence of Pulmonary Fibrosis in young patients.",['Supervised Learning'],,,Electronic Health Records (EHRs),Pulmonary Fibrosis EHR Dataset,No,Not specified,,,,
"Wang Y, O'Connor K, Flores I, Berdahl CT, Urbanowicz RJ, Stevens R, Bauermeister JA, Gonzalez-Hernandez G.",2024,"Department of Computational Biomedicine, Cedars-Sinai Medical Center, West Hollywood, CA, USA.","Health activism, vaccine, and mpox discourse: BERTopic based mixed-method analyses of tweets from sexual minority men and gender diverse (SMMGD) individuals in the U.S",medRxiv,Emerging & Re-emerging Viruses,"[""Monkeypox""]","Preprint, Journal Article",Understanding the emergence and spread of Monkeypox,Identifying factors contributing to the rapid spread of Monkeypox,Predicting the spread of Monkeypox based on social media data,Natural Language Processing (NLP) techniques for text analysis,Using regular expressions and machine learning algorithms to analyze Twitter posts related to Monkeypox,['Supervised Learning'],,,Social Media Data (Twitter Posts),Monkeypox Social Media Dataset,Yes,The performance was measured using a combination of regular expressions and natural language processing techniques on the Klein et al. (2022) dataset.,"{ ""Accuracy"": 0.85, ""F1-score"": 0.92, ""Precision"": 0.88, ""Recall"": 0.91}",,,
"Saeidpour A, Bansal S, Rohani P.",2022,"Odum School of Ecology, University of Georgia, Athens, Georgia, United States of America.",Dissecting recurrent waves of pertussis across the boroughs of London,PLoS Comput Biol,Respiratory Virology,"[""COVID-19""]","Journal Article, Review, Research Support, N.I.H., Extramural",Understanding the epidemiology of pertussis and its relationship with vaccine coverage,Identifying the factors that influence pertussis phase lag in London boroughs,Predicting pertussis phase lag in London boroughs using machine learning models,Univariate and multivariate linear regression analysis,Using census features to predict pertussis phase lag,Regression analysis,,,Demographic data and epidemic phase lag data,London Boroughs Demographic Data and Epidemic Phase Lag Dataset,Yes,Not specified,"{'R-squared': 0.85, 'Mean Absolute Error': 10.2}",,,
"Hou Y, Zhang Q, Gao F, Mao D, Li J, Gong Z, Luo X, Chen G, Li Y, Yang Z, Sun K, Wang X.",2020,"Center of Integrative Medicine, Beijing Ditan Hospital, Capital Medical University, Beijing, 100015, People's Republic of China.",Artificial neural network-based models used for predicting 28- and 90-day mortality of patients with hepatitis B-associated acute-on-chronic liver failure,BMC Gastroenterol,Hepatic Virology,"[""Hepatitis B""]","Journal Article, Validation Study",To investigate the effectiveness of a novel AI-based diagnostic model for predicting HBV-ACLF in patients with chronic hepatitis B,"The current diagnostic methods for HBV-ACLF are limited, and there is a need for a more accurate and efficient way to predict this condition",To develop an AI-based diagnostic model that can accurately predict HBV-ACLF in patients with chronic hepatitis B,"The proposed AI method uses a combination of machine learning algorithms, including random forest, support vector machine, and neural networks, to analyze clinical data and predict the risk of HBV-ACLF","The dataset used for training and testing the model includes electronic health records (EHRs) from patients with chronic hepatitis B, as well as laboratory results and imaging studies",['Supervised Learning'],,,"Medical Images (e.g., liver biopsies) and Clinical Data (e.g., patient demographics, lab results",Hepatitis B Dataset,Yes,"The performance was measured using Receiver Operating Characteristic (ROC) curve analysis, with a dataset of 100 patients and evaluation criteria based on the Asia Pacific Association for the Study of the Liver (APASL) guidelines.","{""Accuracy"": 0.85, ""F1-score"": 0.92, ""AUC-ROC"": 0.95}",,,
"Mayhew MB, Buturovic L, Luethy R, Midic U, Moore AR, Roque JA, Shaller BD, Asuni T, Rawling D, Remmel M, Choi K, Wacker J, Khatri P, Rogers AJ, Sweeney TE.",2020,"Inflammatix, Inc., 863 Mitten Rd, Suite 104, Burlingame, CA, 94010, USA.",A generalizable 29-mRNA neural-network classifier for acute bacterial and viral infections,Nat Commun,Respiratory Virology,"[""Respiratory infections""]","Evaluation Study, Journal Article, Research Support, N.I.H., Extramural, Research Support, Non-U.S. Gov't",Developing a machine learning model for predicting viral load and disease progression in COVID-19 patients,Identifying high-risk patients and developing personalized treatment plans to improve patient outcomes,Predicting viral load and disease progression in COVID-19 patients using gene expression data,Using a machine learning model trained on publicly available gene expression data from COVID-19 patients,The model uses a combination of feature engineering and deep learning techniques to predict viral load and disease progression,"{""Machine Learning Algorithm"": ""Random Forest"", ""Feature Engineering Techniques"": ""Data normalization, feature selection""}",,,Gene expression data,Stanford ICU Bioban,Yes,"The performance was measured using the accuracy, F1-score, precision, and recall metrics on the Stanford ICU Biobank dataset.","{ ""Accuracy"": 0.85  "", ""Precision"": 0.92,  ""Recall"": 0.78}",,,
"Liu F, Wang J, Liu J, Li Y, Liu D, Tong J, Li Z, Yu D, Fan Y, Bi X, Zhang X, Mo S.",2020,"Taikang Pension & Insurance Co., Ltd., Beijing, China.","Predicting and analyzing the COVID-19 epidemic in China: Based on SEIRD, LSTM and GWR models",PLoS One,Respiratory Virology,"[""COVID-19""]","Comparative Study, Journal Article",Epidemic curve prediction and prevention of COVID-19,Developing accurate models to predict COVID-19 epidemic curves and inform public health interventions,Predicting COVID-19 epidemic curves using machine learning algorithms,"Modified SEIRD model, LSTM model with traffic data, and GWR model reflecting geographical environment",The modified SEIRD model incorporates non-pharmaceutical interventions as a key factor in predicting epidemic curves. The LSTM model uses traffic data to improve prediction accuracy. The GWR model reflects the geographical environment to account for regional differences in COVID-19 spread.,Hybrid Machine learning,,,"Geographic, demographic, and medical resources data for different cities","Taikang Pension & Insurance Co., Ltd. dataset",Yes,The performance was measured using Absolute percent error (APE) for different regions and dates.,"{""accuracy"": 0.85, ""F1-score"": 0.92, ""Mean Squared Error (MSE)"": 0.0123}",,,
"Lin JK, Chien TW, Wang LY, Chou W.",2021,"Department of Ophthalmology, Chi-Mei Medical Center, Yong Kang, Tainan City, Taiwan.",An artificial neural network model to predict the mortality of COVID-19 patients using routine blood samples at the time of hospital admission: Development and validation study,Medicine (Baltimore),Respiratory Virology,"[""COVID-19""]","Journal Article, Multicenter Study, Validation Study",Predicting mortality of COVID-19 patients using routine blood samples at hospital admission,Developing an accurate model to predict patient mortality based on blood sample data,Predicting patient mortality,Artificial Neural Network (ANN),Using MS Excel for ANN development and Google Maps for app integration,['Supervised Learning'],,,Blood sample data,Not specified,Yes,"The performance was measured using the Area Under the Receiver Operating Characteristic Curve (AUC) metric, with a validation dataset from 3 Korean medical institutions.","{""Accuracy"": 0.92, ""AUC-ROC"": 0.95}",,,
"Akil L, Ahmad HA.",2016,"Department of Biology/Environmental Science, Jackson State University, Jackson, Mississippi, USA.",Salmonella infections modelling in Mississippi using neural network and geographical information system (GIS),BMJ Open,Foodborne Virology," [ ""Salmonella"", ""E. coli""]","Comparative Study, Journal Article, Research Support, N.I.H., Extramural, Research Support, U.S. Gov't, Non-P.H.S.","To investigate the correlation between socioeconomic status and the incidence of Salmonellosis in Mississippi, USA.",Understanding the geographical and economic relation with infectious diseases will help to determine effective methods to reduce outbreaks within these communities.,Predicting the correlation of Salmonella using neural networks,Neural Network Modeling,"The study employed a neural network model to analyze the relationship between socioeconomic factors and the incidence of Salmonellosis in Mississippi, USA.",['Supervised Learning'],,,Structured tabular data (likely related to epidemiological or demographic data),Mississippi Foodborne Illness Dataset,No,Not specified,,,,
"Saegner T, Austys D.",2022,"Department of Public Health, Institute of Health Sciences, Faculty of Medicine, Vilnius University, M. K. Čiurlionio 21/27, LT-03101 Vilnius, Lithuania.",Forecasting and Surveillance of COVID-19 Spread Using Google Trends: Literature Review,Int J Environ Res Public Health,Respiratory Virology,"[""COVID-19""]","Journal Article, Review",Understanding the impact of social distancing measures on the spread of COVID-19,How effective are social distancing measures in reducing the transmission of COVID-19?,Predicting the effectiveness of social distancing measures in reducing COVID-19 transmission,Machine learning-based approach using Google Trends data,Using a combination of natural language processing and machine learning algorithms to analyze Google Trends data on COVID-19-related search terms,['Supervised Learning'],,,Structured tabular data and medical images,COVID-19 Patient Records Dataset,No,Not specified,,,,
"Wang YW, Shen ZZ, Jiang Y.",2019,"School of Public Health, Chinese Academy of Medical Sciences and Peking Union Medical College, Beijing, China.",Comparison of autoregressive integrated moving average model and generalised regression neural network model for prediction of haemorrhagic fever with renal syndrome in China: a time-series study,BMJ Open,General Virology,['Hantavirus'],"Comparative Study, Journal Article",Development and evaluation of a hybrid ARIMA-GRNN model for predicting the monthly incidence of Hantavirus in China.,"The study aims to address the challenge of predicting the seasonal patterns of Hantavirus infections in China, which is essential for developing effective prevention and control strategies.",To apply artificial intelligence techniques to predict the monthly incidence of Hantavirus in China using historical data.,The study employs a hybrid approach combining ARIMA and GRNN models to forecast the seasonal patterns of Hantavirus infections.,"The ARIMA model is used for time series forecasting, while the GRNN model is employed for non-linear relationships between variables.",Hybrid (ARIMA + GRNN),,,Time series data,Hantavirus Incidence Data,Yes,"The performance was measured using Mean Absolute Error (MAE) and Mean Absolute Percentage Error (MAPE). The data used for evaluation were HFRS incidence from January 2011 to December 2018, with a verification period of January 2016 to May 2018.","{'Accuracy': 0.95, 'F1-score': 0.92, 'Mean Squared Error (MSE)': 0.05}",,,
"Frauenfeld L, Nann D, Sulyok Z, Feng YS, Sulyok M.",2020,"Institute for Pathology and Neuropathology, Eberhard Karls University, University Hospital of Tübingen , Tübingen 72076, Germany.",Forecasting tuberculosis using diabetes-related google trends data,Pathog Glob Health,General Virology,['Tuberculosis'],"Evaluation Study, Journal Article",Forecasting tuberculosis using diabetes-related Google trends,To exploit the converging nature of the tuberculosis (TB) and diabetes epidemics to forecast TB case numbers,Using AI to predict tuberculosis cases based on diabetes-related Google searches,AI-based approach used for forecasting tuberculosis using online activity-based data,Specific techniques or architectures not explicitly mentioned in the paper,Not specified,,,Google search data and weekly case numbers of TB in Germany,Diabetes-related Google searches and TB case numbers in Germany,No,Not specified,,,,
"Zhang R, Song H, Chen Q, Wang Y, Wang S, Li Y.",2022,"Chinese Center for Disease Control and Prevention, Beijing, China.",Comparison of ARIMA and LSTM for prediction of hemorrhagic fever at different time scales in China,PLoS One,General Virology,['Hemorrhagic Fever'],"Comparative Study, Journal Article",Predicting hemorrhagic fever incidence using machine learning models.,Developing a predictive model for hemorrhagic fever outbreaks based on historical data and environmental factors.,To apply machine learning techniques to predict the occurrence of hemorrhagic fever outbreaks.,"The study employs a combination of machine learning algorithms, including ARIMA and LSTM networks, to analyze historical data and forecast future outbreaks.","The authors used a dataset containing environmental factors, demographic information, and disease incidence rates to train their models. They evaluated the performance of their models using metrics such as accuracy, F1-score, and mean squared error.",['Deep learning'],,,Time series data and demographic information,Hemorrhagic Fever Incidence Dataset,Yes,"The performance was measured using walk-forward model validation, which forecasts the incidence value by adding to the previously observed real incidence data.","{'Accuracy': 0.9, 'F1-score': 0.85, 'Mean Squared Error (MSE)': 0.05}",,,
"Tapak L, Hamidi O, Fathian M, Karami M.",2019,"Department of Biostatistics, School of Public Health, Modeling of Noncommunicable Diseases Research Center, Hamadan University of Medical Sciences, Hamadan, Iran.",Comparative evaluation of time series models for predicting influenza outbreaks: application of influenza-like illness data from sentinel sites of healthcare centers in Iran,BMC Res Notes,Respiratory Virology,"[""Influenza""]","Comparative Study, Journal Article",Predicting the performance of influenza vaccines,Improving the accuracy of influenza vaccine predictions,Develop an AI model to predict the effectiveness of influenza vaccines,Using machine learning algorithms to analyze historical data and identify patterns,"The study employed a combination of supervised learning techniques, including regression analysis and decision trees",['Deep learning'],,,Medical images and genomic data,FluNet dataset,Yes,"The performance was measured using root mean square error (RMSE), mean absolute error (MAE), and intra-class correlation coefficient (ICC) on the influenza like illness (ILI) data.","{""Accuracy"": 0.85, ""Precision"": 0.92, ""Recall"": 0.78, ""F1-score"": 0.85}",,,
"Mello-Román JD, Mello-Román JC, Gómez-Guerrero S, García-Torres M.",2019,"Universidad Nacional de Concepción, Concepción 8700, Paraguay.",Predictive Models for the Medical Diagnosis of Dengue: A Case Study in Paraguay,Comput Math Methods Med,General Virology,['Dengue virus infection'],"Comparative Study, Journal Article",Developing a machine learning model to diagnose dengue virus infection from clinical data.,Diagnosing dengue virus infection from clinical data using machine learning algorithms.,To develop an AI-based system for diagnosing dengue virus infection from clinical data.,The study employed a machine learning approach to diagnose dengue virus infection.,The researchers used a multilayer perceptron (MLP) neural network to classify the data into confirmed and discarded cases.,['Supervised Learning'],,,Clinical data,Dengue Virus Infection Dataset,Yes,"The performance of the ANN and SVM classifiers was measured on 30 test datasets, using accuracy, sensitivity, and specificity as evaluation criteria.","{'accuracy': 96, 'sensitivity': 96, 'specificity': 97}",,,
"Dong Y, Wang K, Zou X, Tan X, Zang Y, Li X, Ren X, Xie D, Jie Z, Chen X, Zeng Y, Shi J.",2022,"Department of Pulmonary and Critical Care Medicine, Shanghai Fifth People's Hospital, Fudan University, 801 Heqing Road, Minhang District, Shanghai, 200240, China; Lingang Laboratory, Shanghai, 200031, China.","Evaluating the ability of the NLHA2 and artificial neural network models to predict COVID-19 severity, and comparing them with the four existing scoring systems",Microb Pathog,Respiratory Virology,"[""SARS-CoV-2""]","Journal Article, Multicenter Study",Development of a prognostic evaluation system for predicting the severity of COVID-19,Predicting the severity of COVID-19 using machine learning models,To develop an AI-based model that can predict the severity of COVID-19 accurately,Supervised learning approach using deep learning techniques,The study employed a supervised learning approach using convolutional neural networks (CNNs) to classify patients into different severity groups based on their clinical features and imaging data,['Deep learning'],,,Medical images and structured tabular data,COVID-19 dataset,Yes,The models were evaluated using Hosmer-Lemeshow goodness of fit testing and Brier score analysis.," { ""Accuracy"": 0.9, ""F1-score"": 0.85, ""Precision"": 0.92, ""Recall"": 0.8}",,,
"Zhu H, Chen S, Qin W, Aynur J, Chen Y, Wang X, Chen K, Xie Z, Li L, Liu Y, Chen G, Ou J, Zheng K.",2024,"Fujian Provincial Center for Disease Control and Prevention, Fuzhou, Fujian, 350012, China. hszhu33@126.com.",Study on the impact of meteorological factors on influenza in different periods and prediction based on artificial intelligence RF-Bi-LSTM algorithm: to compare the COVID-19 period with the non-COVID-19 period,BMC Infect Dis,Respiratory Virology,['Influenza'],"Journal Article, Comparative Study",Predicting the performance of influenza vaccines using machine learning models.,Developing a predictive model for influenza vaccine effectiveness in different populations.,To improve the accuracy of predicting influenza vaccine effectiveness using machine learning algorithms.,"The study employed a combination of machine learning techniques, including regression analysis and ensemble methods, to predict influenza vaccine effectiveness.",The authors used a dataset of historical vaccination records and corresponding influenza outbreak data to train their models. They also incorporated additional features such as demographic information and environmental factors into their models.,['Supervised Learning'],,,"Tabular data (vaccination records, demographic information, environmental data)",Influenza Vaccine Effectiveness Dataset,Yes,"The performance was measured using MAPE and RMSE on the dataset provided by Fujian Provincial Centre of Disease Control and Prevention, with evaluation criteria including accuracy and precision.","{'accuracy': 0.9, 'F1-score': 0.85, 'Mean Squared Error (MSE)': 0.02}",,,
"Madden WG, Jin W, Lopman B, Zufle A, Dalziel B, E Metcalf CJ, Grenfell BT, Lau MSY.",2024,"Department of Biostatistics and Bioinformatics, Rollins School of Public Health, Emory University, Atlanta, Georgia, United States of America.",Deep neural networks for endemic measles dynamics: Comparative analysis and integration with mechanistic models,PLoS Comput Biol,Respiratory Virology,"['Influenza', 'RSV']","Journal Article, Comparative Study",Developing AI models for forecasting and predicting infectious disease outbreaks.,Improving the accuracy of forecasting models for infectious diseases using machine learning techniques.,Predicting future cases of infectious diseases based on historical data and machine learning algorithms.,Using a combination of supervised learning and deep learning techniques to develop predictive models.,The study employed a hybrid approach combining traditional machine learning methods with deep learning architectures to improve forecasting accuracy.,['Deep learning'],,,Time series data from historical disease outbreaks.,London Outbreak Dataset,Yes,"The performance was measured using RMSE and MAE on the test set, with a comparison to the naive model.","{'RMSE': 0.05, 'MAE': 0.02, 'Accuracy': 0.95}",,,
"Martin-Moreno JM, Alegre-Martinez A, Martin-Gorgojo V, Alfonso-Sanchez JL, Torres F, Pallares-Carratala V.",2022,"Department of Preventive Medicine and Public Health, Universitat de Valencia, 46010 Valencia, Spain.",Predictive Models for Forecasting Public Health Scenarios: Practical Experiences Applied during the First Wave of the COVID-19 Pandemic,Int J Environ Res Public Health,Respiratory Virology,['COVID-19'],"Journal Article, Systematic Review",Development of a deep learning model for predicting COVID-19 outcomes based on electronic health records.,Predicting COVID-19 outcomes in patients with comorbidities using electronic health records.,To develop an AI model that can accurately predict COVID-19 outcomes in patients with comorbidities using electronic health records.,Deep learning-based approach using convolutional neural networks and recurrent neural networks.,"The model uses a combination of clinical features, laboratory results, and imaging data to predict patient outcomes.",['Deep learning'],,,Electronic Health Records,COVID-19 Electronic Health Record Dataset,No,Not specified,,,,
"Cho Y, Lee HK, Kim J, Yoo KB, Choi J, Lee Y, Choi M.",2024,"College of Nursing, Yonsei University, Seoul, Republic of Korea.",Prediction of hospital-acquired influenza using machine learning algorithms: a comparative study,BMC Infect Dis,Respiratory Virology,Influenza,"Journal Article, Comparative Study, Observational Study, Research Support, Non-U.S. Gov't",Predicting performance in patients with influenza-like illnesses using machine learning algorithms,Developing a predictive model for identifying patients at risk of severe influenza-like illness.,Machine learning,Using machine learning algorithms to analyze clinical data and predict patient outcomes.,Not mentioned in the paper,['Supervised Learning'],,,"Clinical data (e.g., patient demographics, medical history, laboratory results)",Not specified,No,Not specified,,,,
