Sl. No,Authors,Year of publication,Primary affiliation of primary author,Title,Name of publication,Subdomain,Disease Name,doi,Type of evidence source,Research Aim,Research Problem,AI Objective,AI Methodology,AI Method Details,AI Method Type,Is software publicly released?,Software License,Virology AI task addressed,Type of Underlying Data,Dataset Name,Was Performance Measured,How was Performance measured and what was measured?,Performance metrics,Performance score
55,"Djeddou, M.; Hameed, I. A.; Hellal, A.; Nejatian, A.",2021,"Research Laboratory in Subterranean and Surface Hydraulics (LARHYSS), Faculty of Sciences and Technology, Mohamed Khider University of Biskra, Algeria. PO box 145 RP, 07000 Biskra, Algeria",Predictive modeling of COVID-19 New Confirmed Cases in Algeria using Artificial Neural Network,MedRxiv,Respiratory Virology,['COVID-19'],10.1101/2021.03.29.21254532,Research,"To assess the predictive capabilities of four different artificial neural network (ANN) models GRNN, RBFNN, ELM, and MLPNN for forecasting daily new confirmed COVID-19 cases (CNCC) in Algeria, and to determine which model offers the highest accuracy for supporting public health decision-making.",Traditional statistical models often struggle with the non-linear and noisy nature of epidemic data.,"To design, implement, and compare the performance of multiple ANN-based architectures for univariate time series forecasting of COVID-19 cases, using historical CNCC data and standard evaluation metrics (RMSE, MAE, NSE, R) in order to identify the most suitable neural model for epidemic prediction tasks.","The study applied a comparative modeling approach using four distinct artificial neural network (ANN) architectures for time series forecasting. The models were trained and tested on COVID-19 New Confirmed Cases (CNCC) data from Algeria. The dataset was split into training and testing subsets. Each neural network model was trained using MATLAB, and their performance was evaluated using RMSE, MAE, Pearson correlation coefficient (R), and Nash–Sutcliffe efficiency (NSE). The models were then compared through numerical evaluation and graphical tools like Taylor diagrams to assess their predictive accuracy and generalization capabilities.","The MLPNN is a feedforward artificial neural network composed of an input layer, one or more hidden layers, and an output layer. In this study, a single hidden layer was used, and the number of neurons and activation functions were optimized to model the nonlinear relationship between inputs and CNCC. The model was trained using backpropagation in MATLAB, and its performance was validated with RMSE, MAE, R, and NSE. MLPNN achieved the highest accuracy among the models, showing strong generalization in both training and testing.",Multi-Layer Perceptron Neural Network (MLPNN),Yes,No,predicting the number of new confirmed COVID-19 cases (CNCC) in Algeria,daily COVID-19 new confirmed cases in Algeria, Djeddou et.al,Yes,"The study measured the predictive accuracy of four different deep learning models MLPNN, GRNN, RBFNN, and ELM for forecasting COVID-19 New Confirmed Cases (CNCC) in Algeria. The evaluation focused on how closely each model’s predicted values matched the actual observed case numbers. To assess this, four standard statistical metrics were used: Root Mean Squared Error (RMSE), Mean Absolute Error (MAE), Pearson Correlation Coefficient (R), and Nash–Sutcliffe Efficiency (NSE). These metrics were calculated during both the training and testing phases. Lower RMSE and MAE values indicated smaller prediction errors, while higher R and NSE values reflected better correlation and model efficiency. This comprehensive evaluation allowed the researchers to compare models effectively and determine that the MLPNN model achieved the highest predictive performance overall.","{""RMSE"", ""MAE"", ""R"", ""NSE""}","{""RMSE"": 28.9663,  ""MAE"": 18.9621,  ""R"": 0.9939, ""NSE"": 0.9878}"
,,,,,,,,,,,,,,"RBFNN is a three-layer network consisting of an input layer, a hidden layer with radial basis activation functions (typically Gaussian), and a linear output layer. The model approximates the target by combining radial basis functions centered on the training data. Hidden neurons and their centers were determined based on Euclidean distances. Although simpler in architecture, RBFNN showed good performance, especially in generalization, but was outperformed by MLPNN in overall accuracy.",Radial Basis Function Neural Network (RBFNN),Yes,No,predicting the number of new confirmed COVID-19 cases (CNCC) in Algeria,daily COVID-19 new confirmed cases in Algeria, Djeddou et.al,Yes,"The study measured the predictive accuracy of four different deep learning models MLPNN, GRNN, RBFNN, and ELM for forecasting COVID-19 New Confirmed Cases (CNCC) in Algeria. The evaluation focused on how closely each model’s predicted values matched the actual observed case numbers. To assess this, four standard statistical metrics were used: Root Mean Squared Error (RMSE), Mean Absolute Error (MAE), Pearson Correlation Coefficient (R), and Nash–Sutcliffe Efficiency (NSE). These metrics were calculated during both the training and testing phases. Lower RMSE and MAE values indicated smaller prediction errors, while higher R and NSE values reflected better correlation and model efficiency. This comprehensive evaluation allowed the researchers to compare models effectively and determine that the MLPNN model achieved the highest predictive performance overall.","{""RMSE"", ""MAE"", ""R"", ""NSE""}","{""RMSE"": 75.8441,  ""MAE"": 55.8124,  ""R"": 0.9572, ""NSE"": 0.9163}"
,,,,,,,,,,,,,,"GRNN is a type of radial basis network that avoids iterative training. It estimates continuous functions directly from data using kernel regression. The architecture includes an input layer, a pattern layer, a summation layer, and an output layer. GRNN requires a smoothing parameter (?) to control the influence range of training instances. It is fast to train but may struggle with larger datasets. GRNN achieved acceptable performance but was less accurate during the testing phase compared to MLPNN and RBFNN.",Generalized Regression Neural Network (GRNN),Yes,No,predicting the number of new confirmed COVID-19 cases (CNCC) in Algeria,daily COVID-19 new confirmed cases in Algeria, Djeddou et.al,Yes,"The study measured the predictive accuracy of four different deep learning models MLPNN, GRNN, RBFNN, and ELM for forecasting COVID-19 New Confirmed Cases (CNCC) in Algeria. The evaluation focused on how closely each model’s predicted values matched the actual observed case numbers. To assess this, four standard statistical metrics were used: Root Mean Squared Error (RMSE), Mean Absolute Error (MAE), Pearson Correlation Coefficient (R), and Nash–Sutcliffe Efficiency (NSE). These metrics were calculated during both the training and testing phases. Lower RMSE and MAE values indicated smaller prediction errors, while higher R and NSE values reflected better correlation and model efficiency. This comprehensive evaluation allowed the researchers to compare models effectively and determine that the MLPNN model achieved the highest predictive performance overall.","{""RMSE"", ""MAE"", ""R"", ""NSE""}","{""RMSE"": 122.7504, ""MAE"": 100.2906, ""R"": 0.8836, ""NSE"": 0.7807}"
,,,,,,,,,,,,,,"ELM is a single-layer feedforward neural network where the input weights and biases are randomly assigned and not updated during training. The output weights are computed analytically using the Moore–Penrose pseudo-inverse. This allows for very fast training, but model accuracy can vary depending on the initial random weights. In this study, ELM achieved the fastest training time but performed less accurately, particularly in the testing phase.",Extreme Learning Machine (ELM),Yes,No,predicting the number of new confirmed COVID-19 cases (CNCC) in Algeria,daily COVID-19 new confirmed cases in Algeria, Djeddou et.al,Yes,"The study measured the predictive accuracy of four different deep learning models MLPNN, GRNN, RBFNN, and ELM for forecasting COVID-19 New Confirmed Cases (CNCC) in Algeria. The evaluation focused on how closely each model’s predicted values matched the actual observed case numbers. To assess this, four standard statistical metrics were used: Root Mean Squared Error (RMSE), Mean Absolute Error (MAE), Pearson Correlation Coefficient (R), and Nash–Sutcliffe Efficiency (NSE). These metrics were calculated during both the training and testing phases. Lower RMSE and MAE values indicated smaller prediction errors, while higher R and NSE values reflected better correlation and model efficiency. This comprehensive evaluation allowed the researchers to compare models effectively and determine that the MLPNN model achieved the highest predictive performance overall.","{""RMSE"", ""MAE"", ""R"", ""NSE""}","{""RMSE"": 172.6720, ""MAE"": 150.6918, ""R"": 0.7524, ""NSE"": 0.5661}"
56,"Demir, I.; Kirisci, M.",2021,"Yildiz Technical University, Science Faculty, Department of Statistics, Esenler, Istanbul, TURKEY,",Forecasting COVID-19 disease cases using the SARIMA-NNAR hybrid model,MedRxiv,Respiratory Virology,['COVID-19'],10.1101/2021.04.26.21256108,Research,Forecast the number of deaths due to COVID-19 in Turkey using time series models,"Existing models often struggle with forecasting accuracy, especially when non-linear or seasonal patterns are present. ","develop a deep learning-based time series forecasting model that accurately predicts daily COVID-19 death counts in Turkey, thereby enabling timely public health interventions and policy decisions specifically SARIMA, NNAR, and a hybrid SARIMA-NNAR model.","The study employed a comparative time series forecasting framework integrating statistical and deep learning approaches, with a focus on a hybrid model combining Seasonal AutoRegressive Integrated Moving Average (SARIMA) and Neural Network AutoRegressive (NNAR) methods. In this two-stage pipeline, the SARIMA model was first used to capture the linear components such as trend and seasonality of the COVID-19 death time series in Turkey. The residuals from this SARIMA model, which were presumed to contain nonlinear dynamics, were then modeled using an NNAR network, a type of feedforward neural network adapted for time series forecasting. The NNAR model utilized lagged values as inputs and included hidden neurons to learn complex nonlinear relationships. The final forecast was generated by summing the SARIMA predictions with the NNAR-modeled residuals. The models were trained and validated using a data split approach and evaluated on standard forecasting metrics including RMSE, MAE, and MAPE. Residual diagnostics, including autocorrelation checks, were conducted to validate model assumptions and ensure robustness.","The deep learning method used is the Neural Network Autoregressive (NNAR) model, which is a feedforward neural network adapted for time series data. In this model, lagged values of the target variable (daily COVID-19 deaths) were used as inputs. Several NNAR configurations were tested by varying the number of input lags (p), seasonal components (P), and hidden neurons (k). The best-performing NNAR model was selected based on minimum RMSE, MAE, and MAPE values across both training and validation sets. The final chosen model was NNAR(10,1,7)?, which means 10 input lags, 1 seasonal lag, and 7 neurons in the hidden layer, with a weekly seasonal frequency.","NNAR (10,1,7)? – Neural Network Autoregressive model with weekly seasonality",No,No,time series forecasting of COVID-19 mortality,Daily confirmed COVID-19 cases and deaths in Turkey,Demir et.al,Yes,"The study evaluated the forecasting performance of three models SARIMA, NNAR, and a SARIMA-NNAR hybrid by measuring their ability to predict daily COVID-19 death counts. Each model was trained on historical death data from Turkey and assessed using three standard metrics: Root Mean Squared Error (RMSE), Mean Absolute Error (MAE), and Mean Absolute Percentage Error (MAPE). These metrics quantify how closely the model predictions align with the actual observed values, with lower values indicating better accuracy. Among the models, the NNAR (Neural Network Autoregressive) model demonstrated the best overall performance on both the training and validation sets, making it the most suitable choice for forecasting COVID-19 mortality trends in this study.","{""RMSE"", ""MAE"", ""MAPE""}","NNAR model had the lowest values of RMSE, MAE, and MAPE across both training and validation sets."
,,,,,,,,,,,,,,"hybrid time series forecasting model that combines the strengths of a Seasonal AutoRegressive Integrated Moving Average (SARIMA) model and a Neural Network AutoRegressive (NNAR) model. First, the SARIMA model is applied to the COVID-19 death time series data to capture linear patterns such as trend and seasonality. The residuals representing unexplained nonlinear components are then modeled using an NNAR network, which is a type of feedforward neural network specifically adapted for time series forecasting. The NNAR model uses lagged values of the residuals as inputs and includes seasonal lags and hidden neurons to model nonlinear dependencies. The final forecast is obtained by summing the SARIMA predictions with the NNAR predictions on the residuals. This ensemble allows the model to effectively handle both the linear structure and complex nonlinear dynamics in the data, resulting in improved forecasting performance.","SARIMA-NNAR (2,1,2)(2,0,1)? + (3,1,2)?",No,No,,,,,,,
57,"Khennou, F.; Akhloufi, M. A.",2021,"Perception, Robotics, and Intelligent Machines Research Group (PRIME), Department of Computer Science, Université de Moncton, Moncton, NB, Canada",Forecasting COVID-19 Spreading in Canada using Deep Learning,MedRxiv,Respiratory Virology,['COVID-19'],10.1101/2021.05.01.21256447,Research,The aim of the study is to develop and evaluate an ensemble deep learning model combining LSTM and GRU architectures for forecasting the number of new COVID-19 cases in Canada using both univariate and multivariate time series data. ,"existing COVID-19 forecasting models often rely on univariate time series and fail to incorporate exogenous features, which limits their accuracy and generalizability.",To build an ensemble deep learning model that accurately forecasts future COVID-19 case numbers in Canadian provinces by leveraging both time-series data and exogenous features such as weather conditions and daily testing figures.,"The study employed a two-stage forecasting methodology combining both statistical and deep learning approaches to predict future COVID-19 case counts. Initially, univariate time series models were developed using only temporal case data. This was followed by multivariate time series modeling that incorporated exogenous variables such as weather data (temperature, humidity, precipitation) and daily COVID-19 testing counts. Multiple models including AR, ARIMA, SARIMAX, LSTM, GRU, and their ensemble were implemented and evaluated. The deep learning models were fine-tuned and validated across Canadian provinces to assess generalizability and regional adaptability. Model performance was compared using standard error metrics like MAE, RMSE, and MAPE.","The deep learning approach involved training both LSTM (Long Short-Term Memory) and GRU (Gated Recurrent Unit) networks with a single hidden layer of 100 neurons and an output dense layer for regression. Adam optimizer was used for training, and data batches were created using time series generators. Early stopping and best-weight restoration were applied to avoid overfitting. For multivariate modeling, input features were standardized and filtered based on correlation analysis. The final predictions were generated using an ensemble method that averaged the outputs of LSTM and GRU models to improve accuracy and stability across varying provincial datasets. This ensemble model showed superior performance, especially in provinces with large data volumes like Quebec, Ontario, and Alberta.",Ensemble Deep Learning (LSTM + GRU) for time series forecasting.,No,No,forecasting the spread of COVID-19,"COVID-19 case data, Weather data, number of daily and total COVID-19 tests",Khennou et.al,Yes,"The study evaluated the performance of time series forecasting models for predicting daily new COVID-19 cases across Canadian provinces. Forecast accuracy was assessed using three standard error-based metrics: Mean Absolute Error (MAE), Root Mean Squared Error (RMSE), and Mean Absolute Percentage Error (MAPE). These metrics were calculated by comparing the predicted number of daily cases to the actual reported cases over a test period. The performance was reported per province, with ensemble deep learning models (LSTM + GRU) showing superior accuracy, especially in provinces like Quebec, Ontario, and Alberta. The metrics reflect the precision of the predictions and the consistency of the model's generalization across time.","{""MAE"", ""RMSE"", ""MAPE""}","{""Quebec"": {""MAE"": None, ""RMSE"": 401.11, ""MAPE"": 0.30}, ""Ontario"": {""MAE"": None, ""RMSE"": 1055.87, ""MAPE"": 0.92}, ""Alberta"": {""MAE"": None, ""RMSE"": 588.86, ""MAPE"": 1.47}}"
58,"Jarde, A.; Jeffries, D.; Mackenzie, G. A.",2021,"Department of Statistics and Bioinformatics, Medical Research Council Unit The Gambia at the London School of Hygiene & Tropical Medicine; Fajara; The Gambia",DEVELOPMENT AND VALIDATION OF A MODEL FOR THE PREDICTION OF MORTALITY IN CHILDREN UNDER FIVE YEARS WITH CLINICAL PNEUMONIA IN RURAL GAMBIA,MedRxiv,Respiratory Virology,['pneumonia '],10.1101/2021.08.04.21260737,Research,"Develop and validate a machine learning-based predictive model to estimate mortality risk in children aged 2–59 months hospitalized with clinical pneumonia in a low-resource setting (rural Gambia), using clinically available and reliable features.","Existing clinical prediction tools for pneumonia mortality mostly based on logistic regression models have limited accuracy and generalizability, making them insufficient for real-world clinical use in resource-constrained environments.","To apply and evaluate multiple machine learning algorithms including Random Forest, SVM, ANN, and Regularized Logistic Regression to generate and optimize a supervised classification model that predicts in-hospital mortality based on routine clinical features, while addressing class imbalance and ensuring generalizability.","The study implemented an exhaustive machine learning model generation approach by applying four different supervised learning algorithms Random Forest (RF), Support Vector Machine (SVM), Artificial Neural Network (ANN), and Regularized Logistic Regression (RLR) to every possible combination of two or more of 16 selected clinical features (65,519 combinations in total). Each model was trained using 10-fold cross-validation with hyperparameter tuning, with further filtering based on AUC performance, feature reliability, and clinical interpretability. The final model was validated on a held-out test set using metrics like AUC, sensitivity, and specificity.","The researchers created a comprehensive model development pipeline using population-based surveillance data from over 11,000 pediatric pneumonia cases in rural Gambia. They applied four machine learning algorithms Random Forest, Support Vector Machine, Artificial Neural Network, and Regularized Logistic Regression to every possible feature subset combination, resulting in over 260,000 candidate models. The training process included repeated 10-fold cross-validation with adaptive resampling for hyperparameter optimization. To address class imbalance (only ~2% mortality rate), techniques such as class weighting, SMOTE (Synthetic Minority Over-sampling Technique), and threshold-invariant metrics (AUC) were used. Models were shortlisted based on performance (AUC ? 0.85), limited number of features (?6), and the reliability of those features. The final selected model, a Random Forest with five features (age, heart rate, MUAC, oxygen saturation, and lethargy), achieved an AUC of 0.88 on the test set with sensitivity and specificity of 0.78 and 0.77, respectively. The model is available as a downloadable Shiny App for practical use and validation.",Artificial Neural Network (feedforward neural net),https://github.com/MRCG-djeffries/mortality-prediction ,GNU General Public License v3.0,Predicting mortality risk in children with viral (and mixed etiology) pneumonia using clinical data,"16 routinely collected clinical variables (e.g., age, heart rate, oxygen saturation, MUAC, respiratory signs)lectronic health records",Jarde et.al,Yes,"The model’s performance was evaluated as a binary classification task predicting in-hospital mortality (death vs survival) in children aged 2–59 months with clinical pneumonia. The final selected model was a Random Forest trained on a temporally split training set and validated on a held-out test set. Performance was assessed using standard classification metrics, including Area Under the Receiver Operating Characteristic Curve (AUC) to evaluate the model's ability to discriminate between survivors and non-survivors, and sensitivity and specificity to assess how accurately the model classified deaths and survivals at a chosen probability threshold (0.44). Additionally, calibration plots and density plots were used to evaluate how well the predicted probabilities aligned with observed outcomes. A learning curve was also generated to verify model generalization and rule out overfitting. These metrics demonstrated strong performance and robustness of the model on unseen data.","{""AUC"", ""Sensitivity"", ""Specificity"", ""Best_Threshold""}","{""AUC"": 0.88, ""Sensitivity"": 0.78, ""Specificity"": 0.77, ""Best_Threshold"": 0.44}"
59,"Carrillo-Larco, R. M.; Hernandez Santa Cruz, J. F.",2021,"Department of Epidemiology and Biostatistics, School of Public Health, Imperial College London, London, UK","Street images classification according to COVID-19 risk in Lima, Peru: A convolutional neural networks analysis",MedRxiv,General Virology,['COVID-19'],10.1101/2021.09.06.21263188,Research,Developing a deep learning model for predicting COVID-19 risk based on street view images, lack of tools and research applying computer vision and deep learning to the epidemiological surveillance of COVID-19 using unstructured data like street-level imagery.,"To classify street-level images of bus stops in Lima, Peru, into moderate or extreme COVID-19 risk categories using a convolutional neural network (CNN), and to explore which visual features influence classification decisions, thereby supporting population-level epidemiological surveillance.","The study uses a transfer learning approach with pre-trained convolutional neural networks. Five state-of-the-art CNN architectures were tested (NASNetLarge, InceptionResNetV2, Xception, ResNet152V2, and ResNet101V2), and the best-performing model (NASNetLarge) was selected, fine-tuned, and further evaluated. The model was trained on street images labeled with COVID-19 risk levels (moderate or extreme), and evaluated using standard classification metrics. GradCam was used for visual interpretability to identify which image regions contributed most to the classification.","The study used a transfer learning approach with deep convolutional neural networks to classify street images of bus stops in Lima into moderate or extreme COVID-19 risk categories. A dataset of 8,940 images was compiled using the Google Street View API, with five images per bus stop taken from different angles. These images were labeled based on official COVID-19 risk classifications and split into training (60%), validation (20%), and test (20%) sets. Five pre-trained CNN architectures (NASNetLarge, InceptionResNetV2, Xception, ResNet152V2, ResNet101V2) were evaluated, and NASNetLarge was selected for its superior performance. The model's final classification layer was replaced with a 2-neuron softmax layer to enable binary classification. The training used stochastic gradient descent (SGD) with learning rate decay and early stopping. Hyperparameters were fine-tuned, including adjustments to the optimizer decay and learning rate schedule, which improved recall and overall accuracy. Model performance was evaluated using accuracy, recall, and F1-score metrics, and GradCam visualizations were employed to interpret the regions of the image that contributed most to classification decisions, such as green spaces or proximity to buildings and people.",Transfer learning with NASNetLarge CNN architecture for binary classification of street images using softmax output.,https://drive.google.com/file/d/1HXLsenn7yvxri7n2xE80WMtxQzj5fgBX/view?usp=sharing,No,Environmental risk mapping of virus transmission using computer vision,Street view images,Carrillo et.al,Yes,"The model's performance was evaluated on a binary classification task aimed at predicting whether a bus stop was at moderate or extreme COVID-19 risk. Performance assessment was conducted on a held-out test set using standard classification metrics, including overall accuracy as well as precision, recall, and F1-score for each class label (""moderate"" and ""extreme""). These metrics provided a comprehensive view of the model’s ability to correctly classify each risk category. Additionally, GradCam was employed to enhance interpretability by highlighting the regions in the street images that most influenced the model’s decisions, offering insights into the environmental features associated with different levels of COVID-19 risk.","{""Training_Accuracy"", ""Training_Loss"", ""Moderate_Precision"", ""Moderate_Recall"", ""Moderate_F1"", ""Extreme_Precision"", ""Extreme_Recall"", ""Extreme_F1""}","{""Training_Accuracy"": 0.75, ""Training_Loss"": 0.50, ""Moderate_Precision"": 0.80, ""Moderate_Recall"": 0.83, ""Moderate_F1"": 0.82, ""Extreme_Precision"": 0.65, ""Extreme_Recall"": 0.51, ""Extreme_F1"": 0.63}"
60,"Hue, J.; Valinciute, Z.; Thavaraj, S.; Veschini, L.",2022,"Faculty of Dentistry, Oral and Craniofacial Sciences, King’s College London, United Kingdom",High content image analysis in routine diagnostic histopathology predicts outcomes in HPV-associated oropharyngeal squamous cell carcinomas,MedRxiv,Oncogenic virology,Human Papillomavirus-associated Oropharyngeal Squamous Cell Carcinoma (HPV+OpSCC),10.1101/2022.06.24.22276368,Research,"develop an open-source, automated image analysis workflow to extract quantitative features from routine haematoxylin and eosin (H&E) stained histopathological slides of HPV-associated oropharyngeal squamous cell carcinoma (HPV+OpSCC) patients, and to use these features to train a neural network model for predicting patient prognosis (favourable or unfavourable outcomes).","Existing prognostic biomarkers are costly, require specialized lab tests, and are not readily accessible in standard pathology workflows. Moreover, these biomarkers may fail to capture the complex, multifactorial nature of disease progression.","To develop a neural network model that predicts patient prognosis (favourable or unfavourable outcomes) in HPV+OpSCC cases using quantitative features extracted from routine H&E-stained histology slides, without the need for additional biomarker testing.","The study implements a high content image analysis (HCA) pipeline using open-source tools to segment and classify individual cells from H&E slides. Quantitative features (e.g., immune cell counts, nuclear morphology, spatial relationships, heterogeneity) are extracted per patient and used as input for training a neural network. The model is validated using 10-fold cross-validation and a held-out test set.","The study employed a high content analysis workflow combining open-source tools for processing routine H&E-stained histology images. Preprocessing was done using ImageJ, followed by pixel classification in QuPath using an ML-based pixel classifier. Nuclear segmentation was enhanced using the Stardist plugin, and object-level segmentation and classification of cells (tumour cells, TILs, plasma cells) were performed using CellProfiler and CellProfiler Analyst. A total of 31 statistically significant features related to nuclear morphology, spatial distribution, immune infiltration, and intratumour heterogeneity were extracted. These features were used to train a neural network model with four hidden layers (16, 8, 8, 4 nodes), which was validated on a hold-out test set and via 10-fold cross-validation. Performance was assessed using accuracy, sensitivity, specificity, and the Kappa statistic.",Supervised Feedforward Neural Network using engineered histopathological features.,https://github.com/jonashue1/HPV-OpSCC-Machine-Learning,No,Prognostic stratification of virus-induced cancer patients,Histopathological image data ,Hue et.al,Yes,"The performance of the neural network model was assessed using a standard machine learning evaluation strategy involving both a hold-out test set and 10-fold cross-validation. From the full dataset of 567 histopathology images, 80% were used for training and 20% were held out as a test set. The model’s ability to predict patient outcomes (favourable vs. unfavourable prognosis) was evaluated using several metrics: accuracy, sensitivity, specificity, and the Kappa statistic, which measures agreement beyond chance. On the test set, the model achieved strong performance across all evaluation metrics. The Kappa score indicated moderate-to-good agreement. To further validate robustness, 10-fold cross-validation was performed, yielding consistent results across folds for accuracy, sensitivity, specificity, and Kappa. These results demonstrate the model’s effectiveness in distinguishing between outcome groups using features extracted from routine H\&E-stained slides.","{""Test_Accuracy"", ""Test_Sensitivity"", ""Test_Specificity"", ""Test_Kappa"", ""CV_Accuracy"", ""CV_Sensitivity"", ""CV_Specificity"", ""CV_Kappa""}","{""Test_Accuracy"": 0.7876, ""Test_Sensitivity"": 0.7213, ""Test_Specificity"": 0.8654, ""Test_Kappa"": 0.579, ""CV_Accuracy"": 0.7772, ""CV_Sensitivity"": 0.7717, ""CV_Specificity"": 0.7812, ""CV_Kappa"": 0.552}"
61,"Yellapu, G. D.; Rudraraju, G.; Sripada, N. R.; Mamidgi, B.; Jalukuru, C.; Firmal, P.; Yechuri, V.; Varanasi, S.; Sudhakar, P. V.; Bhimarasetty, D. M.; Kanisetti, S.; Joshi, N.; Mohapatra, P.; Pamarthi, K.",2023,"Andhra Medical College, Visakhapatnam, India",Development and Clinical Validation of Swaasa AI Platform for screening and prioritization of Pulmonary TB,MedRxiv,Respiratory Virology,['Tuberculosis (TB)'],10.1101/2022.09.19.22280114,Research,"The primary aim of this research is to develop, validate, and test the Swaasa AI platform, a software-based medical device (SaMD), to effectively screen and prioritize patients at risk for Pulmonary Tuberculosis (PTB) by analyzing cough sounds combined with symptomatic information.","Current diagnostic methods (e.g., sputum staining, chest X-ray, CB-NAAT) are expensive, require specialized laboratory facilities, and highly trained personnel, making them inaccessible for widespread screening, especially in remote or low-income areas", detect and prioritize patients likely to have Pulmonary Tuberculosis (PTB) by analyzing the acoustic signature of cough sounds combined with symptomatic (tabular) data provided by the subjects.,"The AI methodology employed in this study involves a multimodal deep learning framework integrating two neural network models: a Convolutional Neural Network (CNN) and a Feedforward Artificial Neural Network (FFANN). The CNN component processes Mel spectrograms derived from cough sound recordings to extract acoustic features representative of Pulmonary Tuberculosis (PTB). Concurrently, the FFANN analyzes structured, tabular data comprising primary audio-derived features (such as MFCCs, spectral centroid, roll-off, bandwidth, chroma, and zero-crossing rates) and secondary symptomatic features (including age, gender, cough type, duration, and reported symptoms). Finally, outputs from these two neural network models are combined through an additional fully connected layer, termed ""combined logic,"" providing a unified diagnostic decision about the likely presence of PTB.","The AI method incorporates a hybrid deep learning approach, using transfer learning with ResNet-34 pre-trained on ImageNet to analyze cough sound Mel spectrograms, identifying distinct acoustic signatures associated with PTB. The tabular data is processed through an FFANN architecture comprising two hidden layers (with 400 and 300 neurons, respectively), each followed by batch normalization layers to enhance stability and generalization. Feature selection was conducted through correlation analysis and recursive feature elimination, reducing the initial feature set from 209 to 170 critical attributes, which include audio spectral features, MFCCs, temporal domain features, and clinical characteristics. Model performance was rigorously validated using a 10-fold cross-validation strategy, achieving high predictive accuracy with sensitivity and specificity meeting the World Health Organization (WHO) criteria for community-based screening tests.",Multimodal Deep Learning (Hybrid),Yes(proprietary ),Class B Medical Device License,screening and detection of Pulmonary Tuberculosis (PTB) ,Sound waves( cough sound recordings),Yellapu et.al,Yes,"In this initial training phase, the AI model was evaluated using 10-fold cross-validation on cough recordings collected from 195 PTB-positive and 152 PTB-negative subjects, totaling 597 records. The primary performance metric was the Area Under the Receiver Operating Characteristic (ROC) Curve (AUC), reflecting the model's discriminative capability","{""AUC""}","{AUC"": 0.98}"
,,,,,,,,,,,,,,,,,,,,,,"The clinical validation involved a new cohort of 220 presumptive PTB cases. The model’s predictions were directly compared against established clinical diagnostics (CB-NAAT and chest X-ray). Performance metrics included accuracy, sensitivity, and specificity. ","{""Accuracy"", ""Sensitivity"", ""Specificity"", ""AUC""}","{""Accuracy"": 0.8682, ""Sensitivity"": 0.9036, ""Specificity"": 0.8467, ""AUC"": 0.94}"
,,,,,,,,,,,,,,,,,,,,,,"For external validation in a real-world setting, the model was tested at a peripheral healthcare facility with 65 presumptive PTB cases. The model's positive predictions were verified with laboratory confirmation. Performance was evaluated using positive predictive value (PPV), along with overall accuracy. ","{""PPV"", ""AUC""}","{""PPV"": 0.75, ""AUC"": 0.90}"
62,"Turner, S. D.; Hulme-Lowe, C.; Nagraj, V. P.",2022,"Signature Science, LLC",Forecasting Influenza-Like Illness (ILI) during the COVID-19 Pandemic,MedRxiv,Respiratory Virology,['Influenza'],10.1101/2022.10.27.22281617,Research,"To evaluate the performance of various time series forecasting models, including autoregressive neural networks (AR-NN) and statistical models like ARIMA and ETS, for forecasting influenza-like illness (ILI) during the COVID-19 pandemic, and to explore the effectiveness of ensemble forecasting in disrupted epidemiological contexts.","The COVID-19 pandemic disrupted historical ILI patterns, making it unclear whether models developed pre-pandemic remain reliable for ILI forecasting","The COVID-19 pandemic disrupted historical ILI patterns, making it unclear whether models developed pre-pandemic remain reliable for ILI forecasting"," The study applies supervised machine learning using an autoregressive neural network (AR-NN), where past ILI values are used as input features to predict future ILI values. The model is trained using historical ILI data from the CDC FluView, and its predictions are evaluated over one to four-week forecast horizons using short and long training datasets.","The model takes lagged values of ILI as input features and passes them through a neural network with a single hidden layer, allowing it to capture nonlinear temporal patterns. The number of lagged inputs is automatically selected by minimizing the corrected Akaike Information Criterion (AICc). The model is trained weekly using rolling forecast windows, and predictions are generated for one to four-week ahead horizons. Two training data configurations were used: a long dataset (from 2010 onward) and a short dataset (from 2020 onward) to assess the impact of pre- and post-COVID patterns on model performance. Evaluation was conducted using the relative Weighted Interval Score (rWIS) and standardized ranking, comparing the AR-NN's forecasts against statistical baselines and ensemble models.",autoregressive neural network (AR-NN),https://github.com/signaturescience/fiphde,GNU General Public License v3.0,Forecasting influenza-like illness (ILI) during the COVID-19 pandemic,Weekly influenza-like illness (ILI) percentages reported by healthcare providers,CDC FluView / ILINet Data,Yes,"For the autoregressive neural network (AR-NN), performance was gauged by its relative Weighted Interval Score (rWIS) measuring forecast accuracy relative to a naïve baseline and by its standardized rank (0 = worst to 1 = best) across every combination of location, forecast date, and 1-4-week horizon. Each week, the AR-NN was retrained on either the “short” (since Jan 2020) or “long” (since Oct 2010) ILI series, then used to produce 1-4-week-ahead probabilistic forecasts. The rWIS was computed via the evalcast package in R, and for each forecasted observation the AR-NN’s score was compared to other models to assign a standardized rank.","{""rWIS_variability"", ""standardized_rank_above_0.9_proportion""}","{""rWIS_variability"": ""high"", ""standardized_rank_above_0.9_proportion"": 0.25}"
